Transaction Number,Date,Description ,Memo,Category,Transaction Amount,Balance,Temp 1
31821,06/25/2017,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance ,"-$2,305.21","$448,761.57",Recurring
31820,06/25/2017,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,"-$16,350.32","$432,411.25",Recurring
31823,06/26/2017,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,"-$2,566.37","$429,844.88",Recurring
31822,06/28/2017,DEBIT PURCHASE," Roger waters-, Private Show",Entertainment,"-$25,006.35","$404,838.53",Occaisional
31825,06/30/2017,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-$402.50,"$404,436.03",Occaisional
31827,07/01/2017,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,"-$105,062.35","$299,373.68",Recurring
31828,07/02/2017,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,"-$10,056.87","$289,316.81",Recurring
31829,07/03/2017,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,"-$2,846.87","$286,469.94",Recurring
31830,07/04/2017,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,"-$18,362.87","$268,107.07",Recurring
31834,07/05/2017,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,"-$3,153.65","$264,953.42",Recurring
31833,07/05/2017,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,"-$85,013.32","$179,940.10",Recurring
31832,07/05/2017,DEBIT PURCHASE,Mars 2112,Food & Dining,-$521.31,"$179,418.79",Occaisional
101529,07/05/2017,Direct Deposit,Dance of Mole Men - The Album,Royalties,"$9,045.17","$188,463.96",Recurring
31836,07/06/2017,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,"-$7,156.95","$181,307.01",Recurring
31838,07/07/2017,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance ,Insurance ,"-$1,352.02","$179,954.99",Recurring
31837,07/07/2017,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance ,"-$10,325.63","$169,629.36",Recurring
101567,07/07/2017,BALANCE TRANSER ,Savings Account,Transfer,"$70,000.00","$239,629.36",Recurring
31839,07/09/2017,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,"-$10,500.52","$229,128.84",Recurring
31860,07/11/2017,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-$402.50,"$228,726.34",Occaisional
31840,07/12/2017,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,"-$8,062.88","$220,663.46",Recurring
31842,07/13/2017,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-$3.25,"$220,660.21",Occaisional
31841,07/13/2017,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-$403.00,"$220,257.21",Occaisional
31831,07/13/2017,DEBIT PURCHASE,Ferrari Segway,Shopping,"-$5,032.86","$215,224.35",Occaisional
31859,07/14/2017,DEBIT PURCHASE,Black Hole Therapy,Health & Fitness,"-$21,005.50","$194,218.85",Occaisional
31844,07/14/2017,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,"-$6,500.00","$187,718.85",Recurring
31845,07/15/2017,DEBIT PURCHASE,Personal Satellite Network ,Utilities,"-$30,026.35","$157,692.50",Recurring
101553,07/15/2017,DIRECT DEPOSIT,Trust Fund Stock,Dividends,"$716,492.01","$874,184.51",Recurring
31846,07/16/2017,DEBIT PURCHASE,Self Driving Unicycle Festival,Entertainment,"-$1,667.64","$872,516.87",Occaisional
101595,07/16/2017,BALANCE TRANSER ,Money Market,Transfer,"$50,000.00","$922,516.87",Recurring
31847,07/17/2017,DEBIT PURCHASE,Cannibalistic Sushi,Food & Dining,"-$1,352.74","$921,164.13",Occaisional
31843,07/20/2017,DEBIT PURCHASE,Taco Shack,Food & Dining,-$32.85,"$921,131.28",Occaisional
31852,07/21/2017,DEBIT PURCHASE,Hachikyo,Food & Dining,"-$1,789.98","$919,341.30",Occaisional
31849,07/21/2017,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance ,Insurance ,-$898.32,"$918,442.98",Recurring
31848,07/21/2017,DEBIT PURCHASE,Invisible Neckties,Clothing & Personal ,-$955.11,"$917,487.87",Occaisional
31835,07/21/2017,DEBIT PURCHASE,Bowser Beer Brewery,Pets,"-$4,032.11","$913,455.76",Occaisional
31850,07/22/2017,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,"-$12,365.95","$901,089.81",Recurring
31851,07/23/2017,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time) ,Clothing & Personal ,"-$5,361.32","$895,728.49",Recurring
31854,07/24/2017,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,"-$8,659.48","$887,069.01",Recurring
31853,07/24/2017,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,"-$2,506.99","$884,562.02",Recurring
31856,07/25/2017,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance ,"-$2,305.21","$882,256.81",Recurring
31855,07/25/2017,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,"-$16,350.32","$865,906.49",Recurring
31858,07/26/2017,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,"-$2,566.37","$863,340.12",Recurring
31857,07/27/2017,DEBIT PURCHASE,"Pink, Private Show",Entertainment,"-$25,006.35","$838,333.77",Occaisional
31866,07/30/2017,DEBIT PURCHASE,5 Acres on the Moon,Shopping,-$150.23,"$838,183.54",Occaisional
31862,08/01/2017,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,"-$105,062.35","$733,121.19",Recurring
31863,08/02/2017,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,"-$10,056.87","$723,064.32",Recurring
31864,08/03/2017,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,"-$2,846.87","$720,217.45",Recurring
31876,08/04/2017,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-$403.00,"$719,814.45",Occaisional
31865,08/04/2017,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,"-$18,362.87","$701,451.58",Recurring
31869,08/05/2017,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,"-$3,153.65","$698,297.93",Recurring
31868,08/05/2017,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,"-$28,654.97","$669,642.96",Recurring
101530,08/05/2017,Direct Deposit,Dance of Mole Men - The Album,Royalties,"$10,155.14","$679,798.10",Recurring
31871,08/06/2017,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,"-$6,525.65","$673,272.45",Recurring
31873,08/07/2017,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance ,Insurance ,"-$1,352.02","$671,920.43",Recurring
31872,08/07/2017,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance ,"-$10,325.63","$661,594.80",Recurring
31870,08/07/2017,DEBIT PURCHASE,Goldfish Walker,Pets,-$250.65,"$661,344.15",Occaisional
101568,08/07/2017,BALANCE TRANSER ,Savings Account,Transfer,"$70,000.00","$731,344.15",Recurring
31895,08/09/2017,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-$402.50,"$730,941.65",Occaisional
31874,08/09/2017,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,"-$10,500.52","$720,441.13",Recurring
31878,08/10/2017,DEBIT PURCHASE,Taco Shack,Food & Dining,-$210.85,"$720,230.28",Occaisional
31875,08/12/2017,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,"-$8,062.88","$712,167.40",Recurring
31894,08/13/2017,DEBIT PURCHASE,Zero Gravity Yoga Training,Health & Fitness,"-$15,020.32","$697,147.08",Occaisional
31877,08/13/2017,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-$3.25,"$697,143.83",Occaisional
31879,08/14/2017,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,"-$6,500.00","$690,643.83",Recurring
31880,08/15/2017,DEBIT PURCHASE,Personal Satellite Network ,Utilities,"-$30,026.35","$660,617.48",Recurring
101596,08/16/2017,BALANCE TRANSER ,Money Market,Transfer,"$50,000.00","$710,617.48",Recurring
31887,08/18/2017,DEBIT PURCHASE,Eternity,Food & Dining,-$428.36,"$710,189.12",Occaisional
31884,08/21/2017,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance ,Insurance ,-$898.32,"$709,290.80",Recurring
31883,08/21/2017,DEBIT PURCHASE,Neurosurgeon Pedicure,Clothing & Personal ,"-$2,300.41","$706,990.39",Occaisional
31885,08/22/2017,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,"-$12,365.95","$694,624.44",Recurring
31886,08/23/2017,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time) ,Clothing & Personal ,"-$5,361.32","$689,263.12",Recurring
31889,08/24/2017,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,"-$8,659.48","$680,603.64",Recurring
31888,08/24/2017,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,"-$2,506.99","$678,096.65",Recurring
31891,08/25/2017,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance ,"-$2,305.21","$675,791.44",Recurring
31890,08/25/2017,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,"-$16,350.32","$659,441.12",Recurring
31893,08/26/2017,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,"-$2,566.37","$656,874.75",Recurring
31929,08/29/2017,DEBIT PURCHASE,Cocoon Therapy,Health & Fitness,"-$21,050.33","$635,824.42",Occaisional
31897,09/01/2017,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,"-$105,062.35","$530,762.07",Recurring
31902,09/02/2017,DEBIT PURCHASE,Lucky Cheng’s,Food & Dining,-$37.57,"$530,724.50",Occaisional
31898,09/02/2017,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,"-$10,056.87","$520,667.63",Recurring
31899,09/03/2017,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,"-$2,846.87","$517,820.76",Recurring
31901,09/04/2017,DEBIT PURCHASE,Closet Water Slide,Shopping,"-$25,365.32","$492,455.44",Occaisional
31900,09/04/2017,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,"-$18,362.87","$474,092.57",Recurring
31904,09/05/2017,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,"-$3,153.65","$470,938.92",Recurring
31903,09/05/2017,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,"-$41,256.36","$429,682.56",Recurring
101531,09/05/2017,Direct Deposit,Dance of Mole Men - The Album,Royalties,"$11,265.11","$440,947.67",Recurring
31906,09/06/2017,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,"-$3,722.32","$437,225.35",Recurring
31908,09/07/2017,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance ,Insurance ,"-$1,352.02","$435,873.33",Recurring
31907,09/07/2017,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance ,"-$10,325.63","$425,547.70",Recurring
101569,09/07/2017,BALANCE TRANSER ,Savings Account,Transfer,"$70,000.00","$495,547.70",Recurring
31909,09/09/2017,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,"-$10,500.52","$485,047.18",Recurring
31905,09/09/2017,DEBIT PURCHASE,Cloning service for Mervin,Pets,"-$35,032.89","$450,014.29",Occaisional
31910,09/12/2017,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,"-$8,062.88","$441,951.41",Recurring
31927,09/13/2017,DEBIT PURCHASE,Incredibles 3,Entertainment,"-$6,356.32","$435,595.09",Occaisional
31912,09/13/2017,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-$3.25,"$435,591.84",Occaisional
31914,09/14/2017,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,"-$6,500.00","$429,091.84",Recurring
31911,09/14/2017,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-$403.00,"$428,688.84",Occaisional
31922,09/15/2017,DEBIT PURCHASE,Palms Thai,Food & Dining,-$694.85,"$427,993.99",Occaisional
31915,09/15/2017,DEBIT PURCHASE,Personal Satellite Network ,Utilities,"-$30,026.35","$397,967.64",Recurring
31930,09/16/2017,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-$402.50,"$397,565.14",Occaisional
31916,09/16/2017,DEBIT PURCHASE,Elvis Festival,Entertainment,"-$6,523.85","$391,041.29",Occaisional
101597,09/16/2017,BALANCE TRANSER ,Money Market,Transfer,"$50,000.00","$441,041.29",Recurring
31913,09/17/2017,DEBIT PURCHASE,Taco Shack,Food & Dining,-$85.63,"$440,955.66",Occaisional
31919,09/21/2017,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance ,Insurance ,-$898.32,"$440,057.34",Recurring
31918,09/21/2017,DEBIT PURCHASE,"50,000 Monogramed Baseball Caps",Clothing & Personal ,"-$17,699.52","$422,357.82",Occaisional
31920,09/22/2017,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,"-$12,365.95","$409,991.87",Recurring
31917,09/22/2017,DEBIT PURCHASE,Terry Bison Ranch,Food & Dining,-$985.41,"$409,006.46",Occaisional
31921,09/23/2017,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time) ,Clothing & Personal ,"-$5,361.32","$403,645.14",Recurring
31924,09/24/2017,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,"-$8,659.48","$394,985.66",Recurring
31923,09/24/2017,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,"-$2,506.99","$392,478.67",Recurring
31926,09/25/2017,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance ,"-$2,305.21","$390,173.46",Recurring
31925,09/25/2017,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,"-$16,350.32","$373,823.14",Recurring
31928,09/26/2017,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,"-$2,566.37","$371,256.77",Recurring
31937,10/01/2017,DEBIT PURCHASE,Bubba Gump Shrimp Co.,Food & Dining,-$123.54,"$371,133.23",Occaisional
31932,10/01/2017,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,"-$105,062.35","$266,070.88",Recurring
31933,10/02/2017,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,"-$10,056.87","$256,014.01",Recurring
31934,10/03/2017,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,"-$2,846.87","$253,167.14",Recurring
31935,10/04/2017,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,"-$18,362.87","$234,804.27",Recurring
31940,10/05/2017,DEBIT PURCHASE,Bow-Lingual Dog Translator ,Pets,-$356.65,"$234,447.62",Occaisional
31939,10/05/2017,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,"-$3,153.65","$231,293.97",Recurring
31938,10/05/2017,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,"-$13,095.87","$218,198.10",Recurring
101532,10/05/2017,Direct Deposit,Dance of Mole Men - The Album,Royalties,"$12,375.08","$230,573.18",Recurring
31941,10/06/2017,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,"-$5,231.65","$225,341.53",Recurring
31943,10/07/2017,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance ,Insurance ,"-$1,352.02","$223,989.51",Recurring
31942,10/07/2017,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance ,"-$10,325.63","$213,663.88",Recurring
101570,10/07/2017,BALANCE TRANSER ,Savings Account,Transfer,"$70,000.00","$283,663.88",Recurring
31944,10/09/2017,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,"-$10,500.52","$273,163.36",Recurring
31952,10/10/2017,DEBIT PURCHASE,Beetle House NYC,Food & Dining,-$125.65,"$273,037.71",Occaisional
31946,10/12/2017,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-$403.00,"$272,634.71",Occaisional
31945,10/12/2017,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,"-$8,062.88","$264,571.83",Recurring
31947,10/13/2017,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-$3.25,"$264,568.58",Occaisional
31949,10/14/2017,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,"-$6,500.00","$258,068.58",Recurring
31950,10/15/2017,DEBIT PURCHASE,Personal Satellite Network ,Utilities,"-$30,026.35","$228,042.23",Recurring
101554,10/15/2017,DIRECT DEPOSIT,Trust Fund Stock,Dividends,"$696,452.01","$924,494.24",Recurring
31951,10/16/2017,DEBIT PURCHASE,Belgian Grand Prix Pit Pass,Entertainment,"-$7,925.65","$916,568.59",Occaisional
101598,10/16/2017,BALANCE TRANSER ,Money Market,Transfer,"$50,000.00","$966,568.59",Recurring
31957,10/20/2017,DEBIT PURCHASE,Parallax Restaurant,Food & Dining,-$781.52,"$965,787.07",Occaisional
31954,10/21/2017,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance ,Insurance ,-$898.32,"$964,888.75",Recurring
31953,10/21/2017,DEBIT PURCHASE,Titanium Toe Boots,Clothing & Personal ,"-$4,625.32","$960,263.43",Occaisional
31955,10/22/2017,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,"-$12,365.95","$947,897.48",Recurring
31948,10/22/2017,DEBIT PURCHASE,Taco Shack,Food & Dining,-$64.85,"$947,832.63",Occaisional
31956,10/23/2017,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time) ,Clothing & Personal ,"-$5,361.32","$942,471.31",Recurring
31959,10/24/2017,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,"-$8,659.48","$933,811.83",Recurring
31958,10/24/2017,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,"-$2,506.99","$931,304.84",Recurring
31961,10/25/2017,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance ,"-$2,305.21","$928,999.63",Recurring
31960,10/25/2017,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,"-$16,350.32","$912,649.31",Recurring
31963,10/26/2017,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,"-$2,566.37","$910,082.94",Recurring
31962,10/26/2017,DEBIT PURCHASE,Halloween Party,Entertainment,"-$65,888.25","$844,194.69",Occaisional
31936,10/26/2017,DEBIT PURCHASE,Zero Gravity Roomba,Shopping,"-$5,032.86","$839,161.83",Occaisional
31965,10/29/2017,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-$402.50,"$838,759.33",Occaisional
31967,11/01/2017,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,"-$105,062.35","$733,696.98",Recurring
31968,11/02/2017,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,"-$10,056.87","$723,640.11",Recurring
31981,11/3/2017,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-$403.00,"$723,237.11",Occaisional
31969,11/03/2017,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,"-$2,846.87","$720,390.24",Recurring
31992,11/4/2017,DEBIT PURCHASE,Tonga Room,Food & Dining,-$674.36,"$719,715.88",Occaisional
31970,11/04/2017,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,"-$18,362.87","$701,353.01",Recurring
31974,11/05/2017,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,"-$3,153.65","$698,199.36",Recurring
31973,11/05/2017,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,"-$11,124.25","$687,075.11",Recurring
101533,11/05/2017,Direct Deposit,Dance of Mole Men - The Album,Royalties,"$13,485.05","$700,560.16",Recurring
31976,11/06/2017,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,"-$5,231.65","$695,328.51",Recurring
31987,11/7/2017,DEBIT PURCHASE,A380 In-Flight Kitchen,Food & Dining,"-$8,642.31","$686,686.20",Occaisional
31978,11/07/2017,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance ,Insurance ,"-$1,352.02","$685,334.18",Recurring
31977,11/07/2017,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance ,"-$10,325.63","$675,008.55",Recurring
101571,11/07/2017,BALANCE TRANSER ,Savings Account,Transfer,"$70,000.00","$745,008.55",Recurring
31979,11/09/2017,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,"-$10,500.52","$734,508.03",Recurring
31983,11/11/2017,DEBIT PURCHASE,Taco Shack,Food & Dining,-$54.32,"$734,453.71",Occaisional
31980,11/12/2017,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,"-$8,062.88","$726,390.83",Recurring
31999,11/13/2017,DEBIT PURCHASE,Badminton at Baden Baden,Health & Fitness,"-$1,065.59","$725,325.24",Occaisional
31982,11/13/2017,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-$3.25,"$725,321.99",Occaisional
31984,11/14/2017,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,"-$6,500.00","$718,821.99",Recurring
31985,11/15/2017,DEBIT PURCHASE,Personal Satellite Network ,Utilities,"-$30,026.35","$688,795.64",Recurring
31986,11/16/2017,DEBIT PURCHASE,UK Driving Lessons,Entertainment,-$453.21,"$688,342.43",Occaisional
31975,11/16/2017,DEBIT PURCHASE,Dawgs Mix Tape,Pets,-$320.55,"$688,021.88",Occaisional
101599,11/16/2017,BALANCE TRANSER ,Money Market,Transfer,"$50,000.00","$738,021.88",Recurring
31989,11/21/2017,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance ,Insurance ,-$898.32,"$737,123.56",Recurring
31988,11/21/2017,DEBIT PURCHASE,Designer Headset,Clothing & Personal ,-$325.62,"$736,797.94",Occaisional
31990,11/22/2017,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,"-$12,365.95","$724,431.99",Recurring
31991,11/23/2017,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time) ,Clothing & Personal ,"-$5,361.32","$719,070.67",Recurring
31994,11/24/2017,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,"-$8,659.48","$710,411.19",Recurring
31993,11/24/2017,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,"-$2,506.99","$707,904.20",Recurring
31997,11/25/2017,DEBIT PURCHASE,Avengers: Infinity War Live,Entertainment,"-$5,698.32","$702,205.88",Occaisional
31996,11/25/2017,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance ,"-$2,305.21","$699,900.67",Recurring
31995,11/25/2017,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,"-$16,350.32","$683,550.35",Recurring
31972,11/25/2017,DEBIT PURCHASE,The Singapore Flyer,Food & Dining,-$369.21,"$683,181.14",Occaisional
31998,11/26/2017,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,"-$2,566.37","$680,614.77",Recurring
32000,11/29/2017,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-$402.50,"$680,212.27",Occaisional
31971,11/29/2017,DEBIT PURCHASE,Jewelry Safe/Humidor,Shopping,"-$120,623.01","$559,589.26",Occaisional
32002,12/01/2017,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,"-$105,062.35","$454,526.91",Recurring
32003,12/02/2017,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,"-$10,056.87","$444,470.04",Recurring
32027,12/3/2017,DEBIT PURCHASE,Dinner in the Sky,Food & Dining,-$287.66,"$444,182.38",Occaisional
32004,12/03/2017,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,"-$2,846.87","$441,335.51",Recurring
32005,12/04/2017,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,"-$25,362.87","$415,972.64",Recurring
32009,12/05/2017,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,"-$3,153.65","$412,818.99",Recurring
32008,12/05/2017,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,"-$23,658.95","$389,160.04",Recurring
101534,12/05/2017,Direct Deposit,Dance of Mole Men - The Album,Royalties,"$14,595.02","$403,755.06",Recurring
32011,12/06/2017,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,"-$5,231.65","$398,523.41",Recurring
32022,12/7/2017,DEBIT PURCHASE,Steam Plant,Food & Dining,-$289.11,"$398,234.30",Occaisional
32013,12/07/2017,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance ,Insurance ,"-$1,352.02","$396,882.28",Recurring
32012,12/07/2017,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance ,"-$10,325.63","$386,556.65",Recurring
101572,12/07/2017,BALANCE TRANSER ,Savings Account,Transfer,"$70,000.00","$456,556.65",Recurring
32014,12/09/2017,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,"-$10,500.52","$446,056.13",Recurring
32015,12/12/2017,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,"-$8,062.88","$437,993.25",Recurring
32017,12/13/2017,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-$3.25,"$437,990.00",Occaisional
32019,12/14/2017,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,"-$6,500.00","$431,490.00",Recurring
32020,12/15/2017,DEBIT PURCHASE,Personal Satellite Network ,Utilities,"-$30,026.35","$401,463.65",Recurring
32006,12/15/2017,DEBIT PURCHASE,Modern Glass Pool Table,Shopping,"-$73,032.86","$328,430.79",Occaisional
32034,12/16/2017,DEBIT PURCHASE,Zero Gravity Yoga Training,Health & Fitness,"-$15,020.32","$313,410.47",Occaisional
32021,12/16/2017,DEBIT PURCHASE,Burning Man Season Pass,Entertainment,"-$5,888.35","$307,522.12",Occaisional
32018,12/16/2017,DEBIT PURCHASE,Taco Shack,Food & Dining,-$685.65,"$306,836.47",Occaisional
101600,12/16/2017,BALANCE TRANSER ,Money Market,Transfer,"$50,000.00","$356,836.47",Recurring
32035,12/18/2017,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-$402.50,"$356,433.97",Occaisional
32010,12/18/2017,DEBIT PURCHASE,Dog Blazer ,Pets,-$758.23,"$355,675.74",Occaisional
32016,12/20/2017,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-$403.00,"$355,272.74",Occaisional
32024,12/21/2017,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance ,Insurance ,-$898.32,"$354,374.42",Recurring
32023,12/21/2017,DEBIT PURCHASE,Spider Silk Scarf,Clothing & Personal ,-$652.99,"$353,721.43",Occaisional
32025,12/22/2017,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,"-$12,365.95","$341,355.48",Recurring
32007,12/22/2017,DEBIT PURCHASE,Hajime Robot Restaurant,Food & Dining,-$387.96,"$340,967.52",Occaisional
